config_name,weight_energy,weight_water,weight_carbon,seed,total_energy_kWh,total_water_L,total_carbon_kgCO2,mean_reward,violations,carbon_per_energy_ratio
Energy Only,1.00,0.00,0.00,0,2803.12,8421.33,2017.84,-31.45,0,0.7198
Energy Only,1.00,0.00,0.00,1,2791.84,8374.21,2009.13,-30.98,0,0.7196
Energy Only,1.00,0.00,0.00,2,2818.53,8463.87,2031.42,-31.87,0,0.7207
Water Only,0.00,1.00,0.00,0,19441.23,136201.44,13124.88,-6.58,1948,0.6751
Water Only,0.00,1.00,0.00,1,19487.61,136389.12,13178.32,-6.72,1961,0.6762
Water Only,0.00,1.00,0.00,2,19398.44,136089.73,13084.71,-6.51,1939,0.6745
Carbon Only,0.00,0.00,1.00,0,19456.32,13951.23,14841.22,-477.91,2011,0.7628
Carbon Only,0.00,0.00,1.00,1,19489.11,13981.44,14873.41,-479.14,2024,0.7631
Carbon Only,0.00,0.00,1.00,2,19421.83,13938.72,14812.67,-476.44,2009,0.7627
Energy+Water,0.50,0.50,0.00,0,2801.44,8408.21,2014.37,-18.91,0,0.7191
Energy+Water,0.50,0.50,0.00,1,2789.32,8362.44,2007.21,-18.74,0,0.7197
Energy+Water,0.50,0.50,0.00,2,2814.21,8441.83,2022.18,-19.08,0,0.7189
Energy+Carbon,0.50,0.00,0.50,0,19462.41,13965.33,14848.71,-378.82,2019,0.7629
Energy+Carbon,0.50,0.00,0.50,1,19491.22,13989.61,14879.44,-380.14,2021,0.7632
Energy+Carbon,0.50,0.00,0.50,2,19433.87,13944.72,14821.33,-377.41,2014,0.7626
Water+Carbon,0.00,0.50,0.50,0,19448.11,130612.43,13118.92,-32.51,2008,0.6745
Water+Carbon,0.00,0.50,0.50,1,19481.32,130821.74,13158.41,-32.89,2014,0.6754
Water+Carbon,0.00,0.50,0.50,2,19412.88,130481.22,13091.33,-32.21,1997,0.6742
Equal (Balanced),0.34,0.33,0.33,0,19449.84,133912.43,13121.44,-34.41,2001,0.6747
Equal (Balanced),0.34,0.33,0.33,1,19483.21,134102.84,13162.88,-34.78,2009,0.6756
Equal (Balanced),0.34,0.33,0.33,2,19418.33,133781.22,13094.71,-34.11,1994,0.6743
Carbon Focused,0.20,0.20,0.60,0,2806.33,8432.44,2020.18,-36.14,0,0.7198
Carbon Focused,0.20,0.20,0.60,1,2794.21,8388.13,2012.33,-35.87,0,0.7201
Carbon Focused,0.20,0.20,0.60,2,2819.84,8471.22,2033.41,-36.48,0,0.7213
Carbon Heavy,0.10,0.10,0.80,0,2808.91,1682.43,1978.33,-41.38,0,0.7042
Carbon Heavy,0.10,0.10,0.80,1,2796.43,1677.21,1969.88,-41.11,0,0.7045
Carbon Heavy,0.10,0.10,0.80,2,2822.17,1688.84,1988.41,-41.67,0,0.7040
